PERMEABILITY,POROSITY,G1,PD1,G2,PD2,BV1,BV2,Mode
0.38,0.0646,0.23,58.12,0.4,1044.78,5.98,1.05,2.82629
0.02,0.0669,0.28,152.95,0.57,1794.13,6.16,1.98,1.01396
2.57,0.0912,0.6,25.05,1.05,1167.43,9.45,1.29,4.28492
2.53,0.1126,0.4,18.72,0.54,60.24,4.58,3.07,7.2166
2.09,0.0953,0.44,14.46,0.15,1000,10.27,0,8.92262
2.24,0.0761,0.36,29.34,0.15,1000,7.44,0,4.82121
37.8,0.1021,0.16,9.67,0.47,53.94,8.37,2.17,18.41099
0.03,0.0505,0.25,124.32,0.15,1000,6.18,0,1.29126
1.96,0.0908,0.29,32.57,0.22,119.26,7.97,1.92,4.70716
21.6,0.0763,0.27,7.94,0.15,1000,9.34,0,19.75808
0.04,0.0527,0.2,161.58,0.15,1000,7.7,0,1.0523
1.97,0.0685,0.25,19.59,0.15,1000,6.1,0,8.19445
6.71,0.0969,0.37,13.71,0.17,89.36,9.06,1.97,10.19962
10.37,0.1306,0.69,9.05,0.93,612.02,13.45,5.02,10.6943
0.27,0.1053,0.52,121.65,0.15,1000,11.92,0,0.96737
0.02,0.1118,0.67,105.59,0.15,1000,14.29,0,0.93792
0.01,0.1072,0.52,105.03,0.8,500,7.48,6,1.12045
0.02,0.0555,0.93,95.65,0.15,1000,7.65,0,0.7678
0.01,0.0662,0.5,220.14,0.15,1000,9.07,0,0.54701
2.57,0.1731,0.48,13.22,0.5,49.95,4.23,12.55,9.32077
7.13,0.13,0.37,9.33,1,50,6.99,10,14.98787
3,0.098,1.43,10.48,0.71,47.07,12.86,1.93,3.94326
0.02,0.1173,0.94,68.98,0.24,1444.68,11.64,3.36,1.05249
0.02,0.0983,0.41,131.65,1.12,676.99,6.2,9.98,1.01443
0.03,0.1263,0.4,104.94,1.08,866.82,11.18,7.71,1.28735
0.02,0.1065,0.31,156.44,1.15,545.66,7.64,8.48,0.95772
1503,0.255,0.18,4.45,0.65,50,17.81,4,39.09803
0.28,0.1313,0.84,22.37,0.64,960.89,12.72,6.27,3.64099
0.03,0.1081,0.39,137.08,0.7,988.61,7.77,7.53,0.99692
0.49,0.1265,0.54,53.12,0.87,404.9,7.75,6.67,2.165
10.04,0.1724,0.72,7.23,0.4,52.19,12.14,6.04,12.93242
0.01,0.1266,0.53,123.98,1.72,490.95,13.07,7.93,0.93834
0.01,0.055,0.7,82.6,1.57,1723.48,4.84,7.01,1.15832
0.02,0.0975,0.54,137.15,1.55,799.67,8.71,8.67,0.83853
0.12,0.1304,0.52,18.38,2.23,342.88,11.17,14.7,6.40266
0.05,0.1191,0.25,106.9,0.64,561.25,8.59,6.83,1.50168
268,0.1286,0.13,8.17,2.7,702.39,11.16,6.31,22.55614
